indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,sector
Biochemical_oxygen_demand_in_rivers,Austria,Milligrams per litre,2.31,1.79,2.84,2.2,2.48,1.75,1.83,1.7,1.58,1.45,2.4,2.33,2.2,2.08,1.95,1.88,1.81,1.73,1.58,1.43,1.28,1.13,2.14,Other sectors
Biochemical_oxygen_demand_in_rivers,Belgium,Milligrams per litre,2.75,2.36,2.33,2.6,2.4,2.29,2.61,2.97,2.86,3.2,2.74,2.53,2.53,2.32,2.48,2.91,2.56,2.56,2.65,2.27,2.25,1.95,2.43,Other sectors
Biochemical_oxygen_demand_in_rivers,Bulgaria,Milligrams per litre,4.9,4.95,4.62,4.19,3.79,4.17,4.34,4.52,3.56,3.9,3.09,2.98,3.04,2.89,2.76,2.89,2.48,3.11,2.39,2.65,3.19,2.89,2.59,Other sectors
Biochemical_oxygen_demand_in_rivers,Croatia,Milligrams per litre,2.7,2.7,2.7,2.7,2.23,1.98,1.76,1.32,1.52,1.41,1.54,1.51,1.76,2.05,1.72,1.54,1.22,1.35,1.49,1.26,1.47,1.69,1.35,Other sectors
Biochemical_oxygen_demand_in_rivers,Cyprus,Milligrams per litre,2.13,2.33,2.54,2.75,2.06,1.78,2.37,3.29,4.42,2.75,2.7,3.94,2.97,1.9,4.52,2.0,2.38,3.5,2.29,1.23,1.2,2.41,1.41,Other sectors
Biochemical_oxygen_demand_in_rivers,Czech Republic,Milligrams per litre,3.7,3.46,3.72,4.83,3.98,3.52,3.04,3.09,2.86,2.54,2.53,2.72,2.75,2.71,2.71,2.8,2.67,2.74,2.74,2.49,2.58,2.64,2.64,Other sectors
Biochemical_oxygen_demand_in_rivers,EU,Milligrams per litre,2.9458823529411764,2.9205882352941175,3.064117647058824,3.0564705882352943,2.791764705882353,2.68,2.504705882352941,2.53,2.4735294117647055,2.3376470588235296,2.3458823529411768,2.4047058823529412,2.3970588235294117,2.2958823529411765,2.3705882352941177,2.338823529411765,2.2335294117647058,2.271176470588235,2.1094117647058823,1.9605882352941175,2.0623529411764707,2.0858823529411765,2.0476470588235296,Other sectors
Biochemical_oxygen_demand_in_rivers,Estonia,Milligrams per litre,1.58,1.64,1.61,1.61,1.57,1.58,1.81,1.63,1.68,1.7,1.56,1.74,1.47,1.63,1.73,1.73,1.81,1.75,1.53,1.56,1.6,1.64,1.68,Other sectors
Biochemical_oxygen_demand_in_rivers,Finland,Milligrams per litre,2.49,2.56,2.96,2.9,2.36,3.02,2.22,1.98,2.13,1.88,2.07,2.6,2.66,1.98,1.52,1.91,2.06,2.2,1.72,1.37,1.72,1.57,1.57,Other sectors
Biochemical_oxygen_demand_in_rivers,Ireland,Milligrams per litre,1.61,1.44,1.24,1.33,1.41,1.31,1.33,1.34,1.08,1.24,1.35,1.49,1.47,1.39,1.14,1.16,1.03,1.07,1.09,1.14,1.26,1.11,1.16,Other sectors
Biochemical_oxygen_demand_in_rivers,Italy,Milligrams per litre,2.64,2.54,2.54,2.64,2.29,2.17,2.09,2.03,2.0,1.99,2.07,1.9,2.16,2.33,2.5,2.67,2.03,1.65,1.58,1.61,1.52,1.54,1.73,Other sectors
Biochemical_oxygen_demand_in_rivers,Latvia,Milligrams per litre,1.8,1.74,1.91,2.04,1.78,1.52,1.44,1.47,1.46,1.44,1.53,1.47,1.32,1.22,1.16,1.18,1.27,1.38,1.48,1.39,2.29,2.19,1.36,Other sectors
Biochemical_oxygen_demand_in_rivers,Lithuania,Milligrams per litre,2.76,2.91,2.67,2.82,2.55,2.82,2.9,2.43,2.51,2.57,2.6,2.23,2.16,2.21,2.23,2.05,2.12,2.17,2.4,2.26,2.13,1.98,2.0,Other sectors
Biochemical_oxygen_demand_in_rivers,Poland,Milligrams per litre,4.45,4.35,4.6,4.48,4.1,4.3,4.02,3.26,3.21,3.35,3.61,3.87,3.61,3.36,2.94,2.76,2.78,2.83,2.81,2.76,2.78,2.8,2.85,Other sectors
Biochemical_oxygen_demand_in_rivers,Romania,Milligrams per litre,5.38,5.38,4.84,5.12,5.02,5.16,4.86,5.32,5.21,5.12,4.82,4.41,4.67,4.25,4.13,4.02,4.05,3.65,3.55,3.46,3.39,3.52,3.09,Other sectors
Biochemical_oxygen_demand_in_rivers,Slovakia,Milligrams per litre,3.05,3.42,3.91,3.49,2.97,2.65,2.29,2.45,2.43,2.3,2.61,2.58,2.73,2.55,2.66,2.75,2.39,2.17,2.13,2.1,2.06,1.89,2.22,Other sectors
Biochemical_oxygen_demand_in_rivers,Slovenia,Milligrams per litre,3.03,3.87,3.56,4.03,4.1,3.3,1.1,1.81,1.31,1.04,0.96,0.97,0.96,0.86,0.82,0.84,0.79,0.81,0.88,0.8,0.75,0.78,0.78,Other sectors
Biochemical_oxygen_demand_in_rivers,Spain,Milligrams per litre,2.8,2.21,3.5,2.23,2.37,2.24,2.57,2.4,2.23,1.86,1.7,1.61,2.29,3.3,3.33,4.67,4.52,3.94,3.55,3.55,3.59,3.73,3.81,Other sectors
